"movie_id,predicted_rating"
19994,2
25166,2
12120,2
9800,3
1090,3
18475,2
9781,3
8009,2
3877,2
8854,3
152599,2
68727,2
12657,3
8265,3
34647,3
28178,2
264656,3
18777,3
90,2
771,2
9576,3
744,2
146,3
14,3
45269,3
9493,3
22556,2
873,3
33196,2
205596,3
16769,2
33217,3
132232,3
11153,2
208134,2
1165,2
4011,2
17202,2
65086,2
10053,3
11870,3
11778,3
586,2
18736,3
134411,3
287903,3
9276,3
2142,2
11397,3
77016,2
11478,3
266856,3
10564,3
947,3
24150,2
228970,3
18405,3
6961,2
11442,2
2493,2
14047,3
64690,3
11132,2
17127,2
1562,2
232679,2
17880,3
14736,3
23706,2
9100,2
116,2
1245,3
4995,3
14012,2
12212,2
8975,2
342521,2
45272,3
9424,2
97367,3
254904,3
12162,3
11495,3
64689,3
157849,3
37003,3
12211,3
51828,3
22798,2
7501,3
97430,2
12257,2
14024,2
115,3
7874,3
4911,3
1988,3
16222,3
9557,3
8321,3
10186,2
25704,3
133694,3
19265,2
36047,2
8053,2
5236,3
6552,3
1018,3
42188,3
6687,3
8461,2
19,3
10045,2
400,2
253450,3
16353,3
23759,2
24206,2
10185,3
31668,2
13501,2
172391,3
137,3
264999,3
454,3
53457,2
33,3
1951,2
12405,2
10998,3
114,3
2604,3
864,2
14435,3
1931,3
691,3
9877,2
12227,3
71688,3
8291,2
13950,2
12158,3
11586,3
12403,3
34563,2
10368,3
14434,2
11470,2
24940,3
82679,2
2013,2
1440,3
18041,2
87729,3
44754,3
43949,3
142,3
10712,2
243938,3
10876,3
86838,2
613,3
1913,3
97370,3
801,3
70829,2
54518,2
44214,3
240,3
9816,3
10131,2
339984,3
8859,3
11967,3
239563,3
222899,2
4951,3
332567,2
1954,3
22345,2
9448,2
11186,2
136835,2
5876,3
264660,3
492,2
238603,3
10691,3
1251,3
5172,3
58680,2
264644,3
11592,3
16406,2
3682,2
107811,2
2266,3
144340,3
28211,3
47502,2
9950,2
84892,2
24227,2
9672,3
157544,2
59678,2
79777,3
158011,2
8952,3
62204,2
13435,3
319,3
9504,3
26688,2
6615,3
14574,3
16,2
21612,2
36691,2
23631,3
45324,2
12144,2
56601,3
9552,2
578,3
2105,3
126319,2
10136,2
67660,2
10611,3
154,2
3049,3
860,3
9281,2
75674,3
9762,2
184,3
13335,2
76726,3
10269,3
36819,2
17130,2
57214,3
11202,3
9357,3
13812,2
9030,2
19084,3
8386,3
1360,2
101267,3
222935,3
10220,3
31915,2
11601,2
205220,2
14191,2
286565,2
129670,2
34549,2
57157,3
1948,2
46889,2
387,3
60599,2
227719,3
12088,2
14799,2
7510,2
31246,3
61752,3
10944,2
10362,3
1255,2
179144,3
86825,3
844,3
38448,2
327,2
21345,3
173931,3
61984,3
50601,3
236751,2
107,3
8913,2
927,3
11,3
291870,3
907,3
45317,3
12094,2
10377,2
249164,3
9942,3
1817,2
10229,2
687,3
796,3
22804,3
10156,2
12837,2
17708,2
13937,3
28932,3
31909,3
167073,3
3175,3
14369,2
16888,3
121826,2
10646,2
12149,3
304357,3
20009,2
1587,3
30973,3
63020,2
86829,2
13888,3
42345,2
11917,2
14395,3
24137,2
62,3
601,3
13067,2
88641,2
96399,3
489,3
214,2
10890,2
1588,3
316727,2
10314,2
663,2
11804,2
16781,2
11873,3
9289,3
10414,2
1970,2
9614,2
8922,2
1648,3
17917,3
74534,3
19405,3
9355,3
10999,3
321258,3
44040,2
10426,2
280092,3
13938,2
10163,2
12182,2
1832,3
15301,3
10135,3
26352,3
20616,3
9794,2
15037,3
227,3
294272,3
11336,2
283445,2
88036,3
22824,3
11545,3
42684,3
268238,3
41823,3
9362,2
9902,2
14729,3
9455,2
103731,3
10090,3
75900,3
9515,3
328425,2
1542,3
10490,3
87093,3
10029,2
11507,2
37931,2
87818,2
88005,3
73,3
14283,3
209403,3
7942,3
73247,3
253331,3
9952,3
256924,3
